,targetname,ori_tmscore,ref_tmscore
0,H1134,0.92574,0.92574
1,H1140,0.60539,0.60539
2,H1141,0.66871,0.6682
3,H1142,0.61277,0.61277
4,H1143,0.9813,0.98259
5,H1144,0.67777,0.62471
6,H1151,0.93458,0.92937
7,H1167,0.52111,0.52111
8,T1121,0.5437,0.5293
9,T1123,0.86647,0.87701
10,T1127,0.97043,0.97043
11,T1153,0.92827,0.92827
12,T1160,0.34253,0.34253
13,T1161,0.4534,0.4534
14,T1173,0.96955,0.98816
15,T1174,0.44784,0.4456
16,T1178,0.94286,0.94319
17,T1179,0.82545,0.85727
18,T1187,0.67572,0.67572
