,targetname,ori_tmscore,ref_tmscore
0,H1134,0.921565,0.92431
1,H1140,0.6044766666666667,0.59762
2,H1141,0.66905,0.66904
3,H1144,0.67783,0.62512
4,T1121,0.5440474999999999,0.5359275000000001
5,T1123,0.87973,0.88315
6,T1173,0.96807,0.98816
7,T1174,0.74186,0.4456
8,T1178,0.943445,0.9450449999999999
9,T1179,0.7899333333333334,0.8340399999999999
