,model,confidence
107,default_struct_v2_4.pdb,0.8505825677330507
108,spec_iter_uniref_sto_2.pdb,0.8498410955412735
109,iter_1_4.pdb,0.8526455296708568
110,default_pdb_v2_0.pdb,0.8498103926174029
111,spec_uniprot_sto_1.pdb,0.8491380170483416
112,spec_struct_v2_1.pdb,0.8635271454985669
113,lewis_4.pdb,0.8487791399219189
114,iter_1_v2_4.pdb,0.8479161524048499
115,spec_pdb70_4.pdb,0.8484778897396371
116,default_pdb70_v2_3.pdb,0.846942489068621
117,default_struct_0.pdb,0.8498371173635892
118,default_clu30_m_v2_0.pdb,0.8562084375222688
119,default_struct_v2_3.pdb,0.8514016652926982
120,img_multimer_4.pdb,0.8459522506071597
121,default_uniclust30_0.pdb,0.8493325370227363
122,iter_1_2.pdb,0.855275171095025
123,uniclust_oxmatch_a3m_4.pdb,0.8474265220361571
124,spec_struct_v2_0.pdb,0.868607444060647
125,default_struct_1.pdb,0.8455448038484014
126,spec_uniprot_sto_v2_2.pdb,0.8436544969556394
127,default_clu30_m_v2_2.pdb,0.851354046246381
128,default_pdb_0.pdb,0.8439583302426169
129,default_pdb70_v2_2.pdb,0.8509931974106671
130,default_pdb70_1.pdb,0.8449568051703747
131,default_pdb70_0.pdb,0.8470879203870288
132,spec_comp_3.pdb,0.855122909022554
133,default_comp_v2_3.pdb,0.8493141519546146
134,img_multimer_v2_4.pdb,0.8540009700836402
135,spec_uniref_a3m_v2_4.pdb,0.8431286073829224
136,spec_uniprot_sto_2.pdb,0.8440693353079654
137,default_comp_v2_2.pdb,0.8494433974001292
138,uniclust_oxmatch_a3m_3.pdb,0.8478814283447288
139,Elo_0.pdb,0.8440566249108684
140,lewis_3.pdb,0.8488034344662962
141,default_struct_3.pdb,0.8421257552352062
142,default_clu30_m_v2_3.pdb,0.8497259749296068
143,default_pdb_v2_2.pdb,0.8480915099492019
144,default_pdb_v2_1.pdb,0.8482802075380755
145,default_clu30_m_v2_4.pdb,0.8396782218130502
146,default_multimer_v2_4.pdb,0.8431661786148554
147,default_pdb70_3.pdb,0.8380782161153342
148,default_pdb_v2_3.pdb,0.8426929690632737
149,spec_uniprot_sto_v2_4.pdb,0.8392457252295276
150,spec_iter_uniref_sto_3.pdb,0.8417213455956356
151,default_pdb70_v2_4.pdb,0.846818960418823
152,default_multimer_v2_2.pdb,0.8459543361520356
153,default_comp_v2_4.pdb,0.8369436220911755
154,default_pdb_2.pdb,0.8361438977241904
155,default_comp_0.pdb,0.8368341718577733
156,spec_uniprot_sto_4.pdb,0.8381572872047138
157,default_multimer_v2_3.pdb,0.8457119834502022
158,Elo_3.pdb,0.8362782811364154
159,spec_uniref_sto_v2_3.pdb,0.8517218096841286
160,default_pdb_3.pdb,0.8335169095714372
161,spec_iter_uniref_sto_1.pdb,0.8505398599550081
162,default_struct_4.pdb,0.8345836726759852
163,spec_uniref_sto_v2_4.pdb,0.8377430648802873
164,Elo_1.pdb,0.8396463903385366
165,spec_uniref_sto_v2_2.pdb,0.8517367341004012
