,model,score
112,default_af_1.pdb,0.6374373387096773
113,spec_colab_iter_4.pdb,0.6372417741935483
114,spec_af_0.pdb,0.6371402419354838
115,spec_iter_uniref_a3m_4.pdb,0.637039677419355
116,spec_comp_3.pdb,0.6325670967741935
117,spec_pdb70_4.pdb,0.6323399193548386
118,default_pdb_4.pdb,0.6310088709677417
119,spec_af_4.pdb,0.6307676612903225
120,spec_comp_0.pdb,0.6288890322580646
121,default_af_4.pdb,0.6255920967741935
122,spec_pdb_0.pdb,0.6225252419354839
123,default_pdb_3.pdb,0.6214728225806452
124,spec_pdb_2.pdb,0.6089030645161292
