H1106.results
H1111.results
H1114.results
H1129.results
H1134.results
H1135.results
H1137.results
H1140.results
H1141.results
H1142.results
H1143.results
H1144.results
H1151.results
H1157.results
H1166.results
H1167.results
H1168.results
H1171.results
H1172.results
H1185.results
T1109.results
T1110.results
T1113.results
T1115.results
T1121.results
T1123.results
T1124.results
T1127.results
T1132.results
T1153.results
T1160.results
T1161.results
T1170.results
T1173.results
T1174.results
T1176.results
T1178.results
T1179.results
T1181.results
T1187.results
T1192.results
003,011,035,037,046,052,054,067,071,073,074,086,091,092,097,098,119,122,125,131,132,133,147,150,158,165,169,180,185,187,188,199,201,205,215,225,227,229,234,236,239,245,248,257,278,288,291,298,304,312,314,315,317,320,325,333,338,347,348,350,352,360,367,368,370,374,385,390,397,398,399,423,433,434,439,441,444,446,447,456,460,461,462,472,477,481,493,494
H1106,H1111,H1114,H1129,H1134,H1135,H1137,H1140,H1141,H1142,H1143,H1144,H1151,H1157,H1166,H1167,H1168,H1171,H1172,H1185,T1109,T1110,T1113,T1115,T1121,T1123,T1124,T1127,T1132,T1153,T1160,T1161,T1170,T1173,T1174,T1176,T1178,T1179,T1181,T1187,T1192
0.934,0.00,0.934,0.936,0.00,0.00,0.937,0.639,0.916,0.874,0.00,0.931,0.921,0.854,0.922,0.933,0.912,0.00,0.932,0.934,0.00,0.00,0.861,0.934,0.934,0.934,0.934,0.858,0.932,0.934,0.933,0.00,0.931,0.896,0.923,0.934,0.804,0.934,0.352,0.00,0.934,0.9,0.913,0.903,0.909,0.936,0.91,0.933,0.00,0.683,0.00,0.508,0.00,0.934,0.00,0.505,0.00,0.00,0.933,0.91,0.00,0.928,0.932,0.505,0.591,0.917,0.9,0.934,0.00,0.924,0.937,0.934,0.936,0.877,0.933,0.936,0.933,0.931,0.87,0.00,0.00,0.931,0.856,0.00,0.854,0.00,0.937,0.932
0.94,0.00,0.983,0.093,0.00,0.00,0.274,0.00,0.00,0.00,0.00,0.94,0.974,0.076,0.093,0.256,0.975,0.00,0.274,0.00,0.00,0.00,0.879,0.306,0.74,0.979,0.053,0.694,0.833,0.08,0.256,0.00,0.00,0.00,0.00,0.981,0.079,0.00,0.508,0.00,0.984,0.079,0.833,0.973,0.973,0.979,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.08,0.00,0.00,0.982,0.00,0.00,0.56,0.942,0.08,0.00,0.982,0.079,0.08,0.978,0.00,0.274,0.212,0.08,0.981,0.984,0.08,0.982,0.079,0.00,0.00,0.00,0.949,0.079,0.00,0.00,0.00,0.00,0.978
0.258,0.00,0.882,0.129,0.882,0.00,0.723,0.00,0.244,0.00,0.00,0.244,0.735,0.47,0.00,0.351,0.914,0.00,0.723,0.244,0.244,0.00,0.694,0.836,0.244,0.252,0.351,0.928,0.41,0.124,0.363,0.244,0.00,0.159,0.128,0.319,0.00,0.00,0.227,0.00,0.124,0.129,0.883,0.86,0.246,0.059,0.00,0.544,0.883,0.00,0.00,0.00,0.00,0.386,0.319,0.07,0.661,0.319,0.89,0.206,0.661,0.544,0.279,0.07,0.00,0.931,0.129,0.244,0.00,0.00,0.723,0.244,0.131,0.00,0.975,0.131,0.439,0.124,0.00,0.319,0.661,0.124,0.248,0.00,0.00,0.00,0.00,0.939
0.815,0.854,0.668,0.966,0.00,0.00,0.745,0.00,0.781,0.828,0.00,0.777,0.7,0.747,0.00,0.822,0.739,0.00,0.745,0.739,0.00,0.854,0.749,0.759,0.777,0.838,0.785,0.867,0.677,0.812,0.829,0.00,0.00,0.817,0.592,0.724,0.82,0.00,0.636,0.00,0.965,0.68,0.667,0.67,0.807,0.00,0.00,0.729,0.00,0.78,0.558,0.00,0.971,0.759,0.00,0.546,0.00,0.00,0.821,0.777,0.00,0.821,0.835,0.546,0.00,0.857,0.68,0.759,0.00,0.84,0.745,0.812,0.564,0.854,0.971,0.564,0.844,0.876,0.558,0.00,0.00,0.876,0.764,0.00,0.687,0.00,0.729,0.967
0.929,0.969,0.968,0.969,0.00,0.00,0.947,0.503,0.966,0.902,0.00,0.97,0.73,0.972,0.00,0.963,0.97,0.00,0.947,0.97,0.00,0.932,0.964,0.965,0.929,0.961,0.93,0.973,0.909,0.96,0.956,0.00,0.00,0.927,0.641,0.952,0.932,0.97,0.859,0.00,0.969,0.95,0.968,0.929,0.964,0.00,0.926,0.936,0.968,0.848,0.965,0.00,0.00,0.965,0.00,0.381,0.00,0.00,0.965,0.926,0.00,0.935,0.929,0.381,0.00,0.959,0.95,0.965,0.00,0.908,0.947,0.96,0.546,0.969,0.973,0.546,0.962,0.97,0.45,0.00,0.00,0.97,0.972,0.00,0.972,0.00,0.937,0.972
0.709,0.361,0.544,0.722,0.00,0.00,0.942,0.00,0.109,0.59,0.00,0.732,0.554,0.426,0.00,0.624,0.464,0.00,0.942,0.455,0.524,0.405,0.798,0.835,0.673,0.42,0.624,0.898,0.899,0.327,0.624,0.00,0.00,0.406,0.111,0.799,0.405,0.694,0.535,0.00,0.694,0.108,0.569,0.631,0.58,0.00,0.748,0.614,0.00,0.829,0.00,0.00,0.00,0.648,0.403,0.097,0.00,0.403,0.765,0.748,0.00,0.519,0.71,0.097,0.00,0.694,0.105,0.524,0.00,0.622,0.942,0.327,0.296,0.346,0.663,0.296,0.833,0.499,0.00,0.403,0.00,0.499,0.422,0.746,0.323,0.00,0.273,0.918
0.718,0.00,0.881,0.641,0.00,0.00,0.562,0.00,0.19,0.914,0.914,0.755,0.45,0.546,0.00,0.248,0.874,0.00,0.562,0.429,0.00,0.00,0.68,0.592,0.762,0.786,0.592,0.605,0.785,0.222,0.592,0.00,0.00,0.00,0.00,0.684,0.683,0.00,0.107,0.00,0.75,0.345,0.905,0.88,0.827,0.914,0.00,0.438,0.00,0.00,0.00,0.00,0.00,0.605,0.00,0.00,0.00,0.00,0.797,0.00,0.00,0.438,0.719,0.00,0.00,0.936,0.345,0.592,0.869,0.00,0.00,0.222,0.218,0.683,0.888,0.218,0.819,0.00,0.00,0.00,0.00,0.353,0.605,0.00,0.329,0.00,0.321,0.818
0.608,0.63,0.621,0.967,0.00,0.545,0.621,0.751,0.604,0.603,0.00,0.607,0.605,0.609,0.602,0.606,0.835,0.00,0.621,0.835,0.00,0.628,0.634,0.624,0.608,0.666,0.624,0.609,0.615,0.609,0.618,0.00,0.00,0.605,0.617,0.616,0.628,0.00,0.617,0.00,0.621,0.608,0.621,0.574,0.67,0.607,0.611,0.622,0.00,0.668,0.837,0.545,0.00,0.624,0.00,0.591,0.00,0.00,0.621,0.611,0.00,0.602,0.608,0.591,0.00,0.916,0.608,0.624,0.602,0.684,0.621,0.609,0.609,0.63,0.612,0.609,0.77,0.615,0.577,0.00,0.00,0.615,0.618,0.00,0.614,0.00,0.68,0.732
