,model,ptm,plddt_avg,confidence
0,default_uniref30_22_0.pdb,0.7618901637075387,86.58555841034412,0.7359447460746377
1,default_mul_newest_0.pdb,0.7586756445255893,86.69390653779736,0.733247007872403
2,default_multimer_0.pdb,0.7536677065845792,86.29645669200211,0.725250266857077
3,default_uniref30_22_1.pdb,0.7507875827833927,86.35441296549098,0.7220709496316298
4,default_uniref30_22_2.pdb,0.7499488260971605,86.35390693334308,0.7219079666659654
5,default_mul_newest_1.pdb,0.7496613684213582,86.16338299370454,0.7207531774623478
6,default_uniref30_22_3.pdb,0.7451659363794059,85.96649308041707,0.7157739862260766
7,default_mul_newest_2.pdb,0.7439711395010753,85.82380273301672,0.7156579554697953
8,default_uniref30_22_4.pdb,0.7463133727284219,86.24442930552733,0.715576704239288
9,default_multimer_1.pdb,0.7443216412095879,86.11811108777621,0.7139517897134753
10,default_multimer_2.pdb,0.7416965419102628,86.05977464947414,0.7113837610492889
11,default_multimer_3.pdb,0.7255991282727441,84.83815248461411,0.6945685065322345
12,default_multimer_4.pdb,0.7246919222591064,84.90007238114791,0.6934494127416162
13,default_mul_newest_3.pdb,0.714366711797334,85.33897549613293,0.6809385851268008
14,default_mul_newest_4.pdb,0.7139697289310729,85.26233912156083,0.6804648919074304
