,model,ptm,plddt_avg,confidence
0,spec_af_0.pdb,0.7502625326729175,91.18288974049607,0.49189608773422955
1,spec_af_1.pdb,0.7370546777716189,91.0176925824639,0.4607989255521876
2,default_af_0.pdb,0.6754359848795913,89.89696190538213,0.38103732362386755
3,default_af_1.pdb,0.6737861973213801,89.98990531401488,0.3653416224751403
4,default_pdb70_0.pdb,0.6420830603750838,83.44115286937027,0.32594905130688934
5,spec_pdb70_0.pdb,0.6314859428081206,83.10018191110518,0.29168733434028016
6,spec_af_2.pdb,0.647923714170074,88.74748112106468,0.29028339510147083
7,spec_af_3.pdb,0.6470239016038277,88.99553662491293,0.28892175858462055
8,default_pdb70_1.pdb,0.6205039126592852,82.78336720144395,0.2850687524262662
9,spec_af_4.pdb,0.6467470013986221,88.81513047038568,0.28420069384356716
10,spec_struct_0.pdb,0.6395830658297538,85.53333249297755,0.2835637002631187
11,spec_struct_1.pdb,0.6415222416895217,85.3685640027877,0.28332656881367335
12,default_struct_0.pdb,0.642050026733745,85.69719547142986,0.2822956082977988
13,spec_colab_iter_0.pdb,0.6367513708780015,84.6406932943398,0.27948429927249363
14,spec_colab_iter_1.pdb,0.6376391946012111,84.68296230091539,0.2788579046474761
15,default_af_2.pdb,0.6429688266859495,88.73706048130492,0.27758282287808345
16,default_pdb_0.pdb,0.6202736898476754,83.37316788789767,0.275871213360923
17,spec_iter_uniref_a3m_0.pdb,0.6346014375462538,84.59504993490226,0.2698703574135781
18,default_pdb_1.pdb,0.6179150019833146,83.3274963439753,0.2693271214713394
19,iter_2_0.pdb,0.6263292463213839,84.65886848366878,0.26850429836095646
20,iter_1_0.pdb,0.633213651479796,85.3113801941196,0.2650554443004758
21,unidist_uniprot_sto_0.pdb,0.6369782072396946,85.16290854970315,0.26404262745562934
22,spec_iter_uniprot_sto_0.pdb,0.6285776503052667,84.43196758721055,0.26262676730089096
23,spec_iter_uniref_a3m_1.pdb,0.6363284108005343,85.30551865626336,0.2624985360495722
24,unidist_uniref_sto_0.pdb,0.6364577871695409,84.65289015598049,0.2604326101568391
25,default_uniclust30_0.pdb,0.6306020248853854,85.0232639452338,0.26030081965374335
26,iter_2_1.pdb,0.6277931836556072,85.01187123418305,0.2572983008088803
27,default_uniref30_22_0.pdb,0.6244213864113204,84.64966612568128,0.2567611393313669
28,default_uniref30_22_1.pdb,0.6293556193615606,84.81009149650993,0.25669390162042005
29,spec_pdb70_1.pdb,0.6131567034360876,82.90146672621633,0.2561160141872786
30,uniclust_oxmatch_a3m_0.pdb,0.6298796484543067,84.52980946217268,0.25609704156067337
31,spec_iter_uniprot_sto_1.pdb,0.6292281747971269,84.45137206497262,0.2559369206649918
32,unidist_uniprot_sto_1.pdb,0.6269258271496678,84.94269791682844,0.2553355695971089
33,spec_pdb_0.pdb,0.6244817470001606,82.97353892263064,0.25450020024155434
34,iter_1_1.pdb,0.6294278034206081,85.08358477916958,0.2544457461165557
35,default_multimer_0.pdb,0.6246035866452584,84.61829985914659,0.2538504277172353
36,default_af_3.pdb,0.6346490484954513,88.17802106853526,0.25363102162841156
37,default_struct_1.pdb,0.6261222848665395,84.88460713053792,0.2536213375999864
