,target,elo_max_tm,deep_max_tm,default_af_max_tm,default_comp_max_tm,default_img_max_tm,default_mul_newest_max_tm,default_multimer_max_tm,default_pdb_max_tm,default_pdb70_max_tm,default_struct_max_tm,default_uniclust30_max_tm,default_uniref30_max_tm,default_uniref30_22_max_tm,img_multimer_max_tm,iter_1_max_tm,iter_1_old_max_tm,iter_2_max_tm,iter_2_old_max_tm,iter_3_max_tm,iter_4_max_tm,iter_5_max_tm,lewis_max_tm,pdb_iter_uniref_a3m_max_tm,qa_max_tm,spec_af_max_tm,spec_colab_iter_max_tm,spec_comp_max_tm,spec_iter_uniprot_sto_max_tm,spec_iter_uniref_a3m_max_tm,spec_iter_uniref_sto_max_tm,spec_pdb_max_tm,spec_pdb70_max_tm,spec_struct_max_tm,str_af_max_tm,str_comp_max_tm,str_iter_uniprot_sto_max_tm,str_iter_uniref_sto_max_tm,str_pdb_max_tm,str_pdb70_max_tm,str_struct_max_tm,uniclust_oxmatch_a3m_max_tm,unidist_uniprot_sto_max_tm,unidist_uniref_sto_max_tm
10,H1143,0.98086, ,0.85393,0.98374, , ,0.97922,0.98204,0.96094,0.98205,0.97778, ,0.98183, ,0.97703, ,0.96899, , , , , , , ,0.87894,0.97411,0.9801,0.98276,0.98014,0.98238,0.97751,0.84296,0.97994, , , , , , , ,0.98172,0.98236,0.98085
11,H1144,0.68253, ,0.71193,0.67554, , ,0.6925,0.67229,0.8546,0.7651,0.68604, ,0.68034, ,0.84919, ,0.88978, , , , , , , ,0.71115,0.6827,0.6762,0.69553,0.69132,0.68113,0.67099,0.84982,0.73428, , , , , , , ,0.67792,0.6952,0.68029
12,H1151,0.94816, ,0.94984,0.94735, , ,0.94978,0.94168,0.94378,0.95341,0.94145, ,0.93784, ,0.9464, ,0.94571, , , , , , , ,0.95004,0.94246,0.9443,0.93375,0.9437,0.93739,0.9412,0.94198,0.9427, , , , , , , ,0.94243,0.93868, 
13,H1157,0.85415, , , , ,0.79846,0.79529, , , , , ,0.7953, , , , , , , , ,0.79877, , , , , , , , , , , , , , ,0.79576, , , , , , 
14,H1166,0.74382, ,0.5672,0.75591, ,0.7408,0.76729,0.77264,0.75572,0.74054,0.7521, ,0.76205, ,0.74251, ,0.7552, , , , ,0.7351, , , , , , , ,0.7399, , , , , , , , , , , ,0.73732, 
15,H1167,0.80167, ,0.52002,0.8091, ,0.52675,0.80437,0.60979,0.8084,0.5267,0.80448, ,0.80268, ,0.5306, ,0.80531, , , , ,0.80193, , , , , , , ,0.80169, , , , , , , , , , , ,0.80046, 
16,H1168,0.94765, ,0.91715,0.91882, ,0.94992,0.94079,0.90855,0.93729,0.90262,0.94313, ,0.93776, ,0.90123, ,0.89772, , , , , , , , , , , , ,0.94164, , , , , , , , , , , ,0.94318, 
17,T1109,0.90579, ,0.90399,0.906, , ,0.90534,0.90587,0.90561,0.90569, ,0.90536, , ,0.90911, ,0.97286, ,0.96378,0.96269,0.9645, ,0.96248, ,0.90396, ,0.96494,0.9159,0.96624,0.96834,0.9663,0.96494,0.96371, , , , , , , ,0.96426, , 
18,T1110,0.98222, ,0.98007,0.98193, , ,0.98239,0.98146,0.98238,0.98167, ,0.98229, , ,0.98173, ,0.98702, , , , , ,0.98009, ,0.97996, ,0.98005,0.99367,0.98054,0.9903,0.98041,0.98055,0.98261, , , , , , , ,0.98057, , 
19,T1113,0.91121, ,0.9098,0.92581, , ,0.91804,0.92476,0.93023,0.93076,0.90881, , ,0.92679,0.91924, ,0.94014, , , , , ,0.93254, ,0.89673, ,0.93563,0.91463,0.93173,0.92861,0.92967,0.9328,0.93727, , , , , , , ,0.92929, , 
