,model,ptm,plddt_avg,confidence
0,default_mul_newest_0.pdb,0.8493576486835386,83.16599927220923,0.839418372311781
1,default_mul_newest_1.pdb,0.8312801388232554,83.24817152127443,0.8256972604459255
2,default_mul_newest_2.pdb,0.8254003766017807,82.17870242870373,0.8191226053801707
3,default_mul_newest_3.pdb,0.831520634172282,79.17595201332593,0.8177635346408529
4,default_uniref30_22_0.pdb,0.8228580623449844,83.18883319739794,0.8172840529597196
5,default_mul_newest_4.pdb,0.8307188325052064,79.94854546999309,0.8150448952699623
6,default_uniref30_22_1.pdb,0.7846448269757409,77.56394495883167,0.7783383815938787
8,default_uniref30_22_2.pdb,0.7810932950966856,78.36079406818632,0.7698265424727062
9,default_uniref30_22_3.pdb,0.7789547599583319,78.8354851125151,0.7671935589557778
10,default_uniref30_22_4.pdb,0.7662984626908127,77.52051147173475,0.7533502439145053
11,default_multimer_0.pdb,0.7541162756689956,76.20959087789501,0.7292886214973245
13,default_multimer_1.pdb,0.7378667575495248,75.05957574063244,0.7084985491112235
15,default_multimer_2.pdb,0.7136410920333571,74.05746478940814,0.6923477977218571
16,default_multimer_3.pdb,0.7097326748746231,75.97215433421415,0.67136404977595
19,default_multimer_4.pdb,0.6719831655260338,73.0988535495763,0.6258685435818914
