,model,score
0,default_uniref30_4.pdb,0.9950838383838385
1,spec_iter_uniref_sto_4.pdb,0.9949942424242423
2,default_multimer_2.pdb,0.9949089898989898
3,default_pdb70_3.pdb,0.9948960606060606
4,spec_iter_uniprot_sto_0.pdb,0.9947641414141412
5,uniclust_oxmatch_a3m_3.pdb,0.9947555555555554
6,spec_struct_4.pdb,0.9947288888888888
7,default_multimer_4.pdb,0.9947051515151516
8,uniclust_oxmatch_a3m_2.pdb,0.9946989898989899
9,spec_iter_uniprot_sto_1.pdb,0.9946413131313131
10,spec_struct_1.pdb,0.9946031313131312
11,spec_iter_uniref_a3m_2.pdb,0.9945515151515153
12,pdb_iter_uniref_a3m_0.pdb,0.9945373737373737
13,pdb_iter_uniref_a3m_1.pdb,0.9945276767676766
14,spec_pdb70_0.pdb,0.9944487878787879
15,spec_iter_uniref_a3m_0.pdb,0.9943946464646465
16,spec_pdb_4.pdb,0.9943576767676767
17,spec_iter_uniprot_sto_4.pdb,0.9943419191919193
18,spec_comp_1.pdb,0.9943258585858585
19,lewis_3.pdb,0.994230707070707
20,lewis_1.pdb,0.9942269696969696
21,lewis_4.pdb,0.9941945454545452
22,iter_2_4.pdb,0.9941877777777779
23,default_uniref30_0.pdb,0.9941842424242424
24,default_pdb_1.pdb,0.994169898989899
25,spec_pdb70_1.pdb,0.9941142424242424
26,lewis_0.pdb,0.9940821212121214
27,default_pdb70_4.pdb,0.9940812121212121
28,default_pdb70_1.pdb,0.9940783838383837
29,uniclust_oxmatch_a3m_0.pdb,0.9940750505050504
30,spec_comp_2.pdb,0.9940713131313131
31,spec_pdb_3.pdb,0.9940619191919192
32,spec_comp_4.pdb,0.9940447474747476
33,spec_struct_0.pdb,0.993950303030303
34,iter_1_1.pdb,0.9939467676767676
35,spec_pdb_2.pdb,0.9939317171717172
36,spec_pdb70_2.pdb,0.9939214141414141
37,pdb_iter_uniref_a3m_2.pdb,0.9939175757575757
38,spec_struct_3.pdb,0.9937914141414141
39,default_struct_2.pdb,0.9937817171717171
40,uniclust_oxmatch_a3m_1.pdb,0.9937725252525254
41,default_comp_1.pdb,0.9937587878787879
42,pdb_iter_uniref_a3m_3.pdb,0.9937390909090907
43,iter_1_0.pdb,0.9937389898989898
44,spec_iter_uniref_sto_1.pdb,0.9937350505050504
45,spec_struct_2.pdb,0.9936872727272729
46,default_struct_0.pdb,0.9936865656565655
47,spec_pdb70_3.pdb,0.9936693939393938
48,default_pdb_0.pdb,0.9936324242424244
49,default_multimer_1.pdb,0.9935825252525253
50,default_multimer_0.pdb,0.9935674747474748
51,iter_1_3.pdb,0.9935540404040405
52,default_uniref30_1.pdb,0.9935079797979799
53,default_comp_0.pdb,0.9935069696969696
54,default_pdb_3.pdb,0.9934946464646465
55,spec_iter_uniref_a3m_3.pdb,0.9934845454545456
56,spec_iter_uniref_a3m_1.pdb,0.9934475757575757
57,lewis_2.pdb,0.9934273737373738
58,spec_iter_uniref_sto_3.pdb,0.9934246464646465
59,default_comp_3.pdb,0.9934219191919192
60,spec_iter_uniref_sto_0.pdb,0.9933995959595959
61,default_uniref30_2.pdb,0.9933941414141412
62,default_struct_4.pdb,0.9933915151515151
63,spec_pdb_0.pdb,0.9933177777777777
64,pdb_iter_uniref_a3m_4.pdb,0.9932074747474747
65,spec_pdb_1.pdb,0.9932022222222223
66,spec_comp_3.pdb,0.9931636363636364
67,default_af_4.pdb,0.9929931313131313
68,spec_pdb70_4.pdb,0.9929731313131311
69,spec_comp_0.pdb,0.9929584848484849
70,default_struct_3.pdb,0.992909898989899
71,default_pdb70_0.pdb,0.9928602020202022
72,uniclust_oxmatch_a3m_4.pdb,0.9928353535353536
73,default_af_0.pdb,0.9928310101010102
74,default_af_3.pdb,0.9927964646464645
75,default_af_1.pdb,0.9927879797979798
76,default_af_2.pdb,0.9927835353535351
77,spec_iter_uniref_a3m_4.pdb,0.9927825252525252
78,default_pdb70_2.pdb,0.9927716161616161
79,default_struct_1.pdb,0.9927121212121215
80,spec_af_3.pdb,0.9925885858585859
81,spec_af_0.pdb,0.9925692929292929
82,spec_af_1.pdb,0.9925564646464645
83,spec_af_2.pdb,0.9924976767676769
84,spec_af_4.pdb,0.9923253535353537
85,iter_2_1.pdb,0.9923220202020202
86,iter_1_4.pdb,0.992318383838384
87,iter_1_2.pdb,0.9922651515151516
88,iter_2_3.pdb,0.9922342424242424
89,default_uniref30_3.pdb,0.9921764646464647
90,default_multimer_3.pdb,0.9921245454545453
91,default_pdb_2.pdb,0.9919475757575758
92,default_comp_4.pdb,0.9913936363636364
93,default_pdb_4.pdb,0.991351616161616
94,default_comp_2.pdb,0.9910915151515153
95,spec_iter_uniref_sto_2.pdb,0.9893236363636362
96,spec_iter_uniprot_sto_3.pdb,0.9890843434343435
97,iter_2_2.pdb,0.9883822222222223
98,iter_2_0.pdb,0.988168787878788
99,spec_iter_uniprot_sto_2.pdb,0.9735672727272727
